time,p1,p2,p3
2024-07-19 01:43:22.85458+00,67.683670,54.244331,30.929962
2024-07-19 01:43:37.757801+00,63.246700,53.726654,32.141323
2024-07-19 01:43:52.571853+00,86.691429,67.245796,9.913851
2024-07-19 01:44:10.712482+00,52.077381,70.467957,40.591969
2024-07-19 01:44:25.546735+00,75.361420,56.242264,19.976864
2024-07-19 01:44:40.544643+00,82.214897,78.632271,16.182219
2024-07-19 01:44:58.501122+00,75.866875,60.948994,15.296004
2024-07-19 01:45:13.395669+00,73.372711,85.596313,21.619871
2024-07-19 01:45:28.270269+00,52.927418,74.016319,44.002464
2024-07-19 01:45:46.346191+00,84.421036,74.885895,16.450714
2024-07-19 01:46:01.219106+00,65.822189,86.141029,25.233036
2024-07-19 01:46:16.152613+00,55.280094,81.749969,43.598473
2024-07-19 01:46:34.171337+00,86.127739,78.470245,28.825651
2024-07-19 01:46:48.972919+00,86.816795,66.263031,15.411050
2024-07-19 01:47:03.815005+00,64.984505,54.870430,35.414265
2024-07-19 01:47:18.818194+00,70.485580,84.756470,33.570305
2024-07-19 01:47:36.843537+00,62.834930,82.659897,37.868317
2024-07-19 01:47:51.645247+00,85.801231,64.339249,15.824471
2024-07-19 01:48:06.50599+00,63.141571,53.762280,30.158026
2024-07-19 01:48:24.704149+00,62.631546,84.441933,34.645443
2024-07-19 01:48:39.557245+00,54.557152,62.436363,43.086651
2024-07-19 01:48:54.429261+00,64.598801,57.829624,28.967060
2024-07-19 01:49:12.592415+00,80.208290,54.790859,24.501001
2024-07-19 01:49:27.482052+00,83.534081,61.295238,22.047453
2024-07-19 01:49:42.357985+00,86.904686,68.365410,16.487574
2024-07-19 01:50:00.411458+00,49.844971,75.397636,41.467247
2024-07-19 01:50:15.366541+00,71.246651,58.479359,30.261240
2024-07-19 01:50:31.683244+00,58.359619,79.599983,41.066422
2024-07-19 01:50:46.619126+00,63.828098,56.685787,32.600327
2024-07-19 01:51:04.575277+00,61.703716,81.611649,43.058853
2024-07-19 01:51:19.429153+00,70.165291,55.454052,22.277740
2024-07-19 01:51:34.322977+00,86.662170,68.152390,13.155725
